NS311,Planning and Managing Projects,"<a href='https://drive.google.com/file/d/1x-Ua7HfA0_vk8Nebkmr5p6AuKJJEFRsz/view?usp=sharing'target=""_blank"">2019</a>"
NS4032,Children with Healthcare Needs 1,"<a href='https://drive.google.com/file/d/14g6gH-eb9LYDlt-mQZOqtzg8mghLLa5P/view?usp=sharing'target=""_blank"">2019</a>"
EF576,Business Finance,"<a href='https://drive.google.com/file/d/1awxdTU8GzsRsRg__gX2Te-mZ5mlbo_4d/view?usp=sharing'target=""_blank"">2019</a>"
NS4803,Caring for a child,"<a href='https://drive.google.com/file/d/1W9YtnP4LwD-hgHpBEFZ7cIsz9NDkPeAN/view?usp=sharing'target=""_blank"">2019</a>"
NS4033,Children with Healthcare Needs 2,"<a href='https://drive.google.com/file/d/1y_meAN6bQ4Qks3gnb6wK_eMH_KYMNK43/view?usp=sharing'target=""_blank"">2019</a>"
EM201,Engineering Mathematics III,"<a href='https://drive.google.com/file/d/1C8HnDfPoGt94G6kYV77yCCoFMAiXYdHy/view?usp=sharing'target=""_blank"">2019</a>"
PS129,Modern Technology 1: Eng. Trans.Elect. Pwr.,"<a href='https://drive.google.com/file/d/1LZAAHCGuFpT9X8yGJOpOjCzoRRggciC0/view?usp=sharing'target=""_blank"">2019</a>"
PS102,Light and Optics,"<a href='https://drive.google.com/file/d/1-6dgMxcdwrd39qHhnzLufAI6PnuV9GGo/view?usp=sharing'target=""_blank"">2019</a>"
PS122,Physics For General Science I,"<a href='https://drive.google.com/file/d/1jk3qMt_4uDWJ3NLhwpZ68XJXUYzK0Vg7/view?usp=sharing'target=""_blank"">2019</a>"
PS101,Motion and Energy,"<a href='https://drive.google.com/file/d/1JNgo_SkzgogbuscfQKX0YRWZOrgKE5or/view?usp=sharing'target=""_blank"">2019</a>"
PS132,Physics for Science and Health,"<a href='https://drive.google.com/file/d/1v9Qaaw8U2m0uNk4zJzF0uMt4I2CIWffo/view?usp=sharing'target=""_blank"">2019</a>"
MS555,Simulation for Finance,"<a href='https://drive.google.com/file/d/11nJHX7sieUSAaW6JDhXuGyuPxXf7wDCB/view?usp=sharing'target=""_blank"">2019</a>"
PS313,Atmospheric Physics,"<a href='https://drive.google.com/file/d/1I6QrqlU1POpXzipRJU0069sg9qhNDo2R/view?usp=sharing'target=""_blank"">2019</a>"
PS207,Nuclear Physics and Relativity,"<a href='https://drive.google.com/file/d/1T-jyf5Ha2fSToRX5fhYyZQeDb4Dygra9/view?usp=sharing'target=""_blank"">2019</a>"
PS305,Semiconductor Physics I,"<a href='https://drive.google.com/file/d/1UfcSHUsyeAR5aBA0xJmdTOWf9LcKYM2p/view?usp=sharing'target=""_blank"">2019</a>"
PS315,Meteorology,"<a href='https://drive.google.com/file/d/1T6qCa7hyxg7Y7sk3Pid4Mv9_hecWNjRq/view?usp=sharing'target=""_blank"">2019</a>"
PS311,Stellar Physics,"<a href='https://drive.google.com/file/d/1013WX6mq2kheGbRkbapg9DzTUZOjKt4W/view?usp=sharing'target=""_blank"">2019</a>"
PS307,Wave Optics,"<a href='https://drive.google.com/file/d/1NKkJG7CXQea2yncaiFofs2T4WOtpZw1L/view?usp=sharing'target=""_blank"">2019</a>"
JA240,Japanese Language 3 (Ex Beginner),"<a href='https://drive.google.com/file/d/1MNqNfB7n-Glj5UTpVjTIS4B9597iMnMh/view?usp=sharing'target=""_blank"">2019</a>"
PS201,Quantum Physics I,"<a href='https://drive.google.com/file/d/1yzX3lJn064XgBaM5Gz87ZLuQAisCsJZc/view?usp=sharing'target=""_blank"">2019</a>"
PS412,Electrodynamics,"<a href='https://drive.google.com/file/d/1jPinuhT1JJJ10hhS_oGXNZsB-8QeQ2lY/view?usp=sharing'target=""_blank"">2019</a>"
PS301,Quantum Physics II,"<a href='https://drive.google.com/file/d/1djoQvtC951wusliZzpgql42gWpe11UkV/view?usp=sharing'target=""_blank"">2019</a>"
SP107,Spanish Language 1 (Beginners),"<a href='https://drive.google.com/file/d/1u8KMP9TpF_j9RglxHsjIGi9SUNDwUxxf/view?usp=sharing'target=""_blank"">2019</a>"
PS402,Solid State Physics,"<a href='https://drive.google.com/file/d/1sbkG2Qup-KfvFCoCLOv6GsW69yPnPHEa/view?usp=sharing'target=""_blank"">2019</a>"
PS407,Quantum Electronics,"<a href='https://drive.google.com/file/d/1bxrvWfYgDR6M9JJNN8LTm8g8MK6IeEyZ/view?usp=sharing'target=""_blank"">2019</a>"
PS430,Teaching & Assessing Senior Cycle Physics,"<a href='https://drive.google.com/file/d/1_gkZI2HWEt2BI38myFosoCPDGyvrgxmc/view?usp=sharing'target=""_blank"">2019</a>"
PS415,Applied Spectroscopy,"<a href='https://drive.google.com/file/d/1ZUNOZiOtHxNzAmbnrg65xAHJFbAQWtp2/view?usp=sharing'target=""_blank"">2019</a>"
PS508,Fundamentals of Industrial Plasmas,"<a href='https://drive.google.com/file/d/1M930L126NwRCQImb9vgYexWcQEjG9b1C/view?usp=sharing'target=""_blank"">2019</a>"
SP250,Spanish Language 5 (Ex Intermediate),"<a href='https://drive.google.com/file/d/18Hul5GbiYuKI3ZM6qd7iGb5TpjrplA3q/view?usp=sharing'target=""_blank"">2019</a>"
SP201,Spanish Language 3 (Ex Beginner),"<a href='https://drive.google.com/file/d/1rGfLNzP7u9StReHPNaOIKwDRoLZxd66D/view?usp=sharing'target=""_blank"">2019</a>"
PS510,Plasma Applications,"<a href='https://drive.google.com/file/d/1tWiw8eI6a4HpgU5SjzACB9hXYrQSYCfR/view?usp=sharing'target=""_blank"">2019</a>"
SP190,Spanish Society and Literature,"<a href='https://drive.google.com/file/d/1kXoV0kijx1BnwEN0Lh2htSSK7UUupah7/view?usp=sharing'target=""_blank"">2019</a>"
SG201,Fundamentals in Science,"<a href='https://drive.google.com/file/d/1Dl5SFXd6m6QYgJk_KMaA_Xe8_1fD4U_C/view?usp=sharing'target=""_blank"">2019</a>"
SS110,Anatomy I,"<a href='https://drive.google.com/file/d/1gaett0PYRH64PfnMXwIXeZt49rTpMRFJ/view?usp=sharing'target=""_blank"">2019</a>"
SP208,Spanish Translation Practice,"<a href='https://drive.google.com/file/d/14qBdOjWVBCrM8z01YPAiX_75OxuXDqSJ/view?usp=sharing'target=""_blank"">2019</a>"
SP240,Spanish Language 3 (Ex Beginner),"<a href='https://drive.google.com/file/d/1hHsDfynh01p3F56NTxrrcyLpTA3KVF9E/view?usp=sharing'target=""_blank"">2019</a>"
SS113,Applied Studies in Athletics 1,"<a href='https://drive.google.com/file/d/1eHcAGTk-Ip4MgsaqrO2-YOefA4PHaBXD/view?usp=sharing'target=""_blank"">2019</a>"
SS213,Sport and Exercise Nutrition,"<a href='https://drive.google.com/file/d/1NRgLXttCAUrky-J0V5S1huinmxgYEzo9/view?usp=sharing'target=""_blank"">2019</a>"
SS103,Physiology for Health Sciences,"<a href='https://drive.google.com/file/d/1jzpdQbQ-FMuEsZYPfma5mXaukgQ8nY1Q/view?usp=sharing'target=""_blank"">2019</a>"
SS117,Applied Contemporary Social Issues in PE,"<a href='https://drive.google.com/file/d/1HiMqP-JOFBrmjYwwyQJkhVGC00m-mttU/view?usp=sharing'target=""_blank"">2019</a>"
SS218,Injuries 1,"<a href='https://drive.google.com/file/d/1wianAiphfqJTbS9WkjUq_bibuNu420eO/view?usp=sharing'target=""_blank"">2019</a>"
SS306,Principles of Health Promotion,"<a href='https://drive.google.com/file/d/1barbSbIw_hfOZ8g4fppQZuRd1gRu1lVT/view?usp=sharing'target=""_blank"">2019</a>"
SS303,Sport & Exercise Biomechanics 2,"<a href='https://drive.google.com/file/d/1dX56AAq4q87TKs6aP8JvaclzUzpleWoe/view?usp=sharing'target=""_blank"">2019</a>"
SS333,Applied Modalities & Clinical Practice,"<a href='https://drive.google.com/file/d/1VaeIgpDLU5nsaJ7Cqq-_2IA1SMBPsOiV/view?usp=sharing'target=""_blank"">2019</a>"
SS236,Sport Injury Prevention,"<a href='https://drive.google.com/file/d/1AeRZMNXsIdSkYwdAVliV-l1-rieqKeAh/view?usp=sharing'target=""_blank"">2019</a>"
